|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
Tüketici Fiyatları Endeksi (1994=100) Aylık Değişim (%)|Ölçüm bazında|2002|5.3|1.8|1.2|2.1|0.6|0.6|1.4|2.2|3.5|3.3|2.9|1.6|
||2003|2.6|2.3|3.1|2.1|1.6|-0.2|-0.4|0.2|1.9|1.4|1.6|0.9|
||2004|0.7|0.6|0.9|0.6|0.4|-0.1|0.2|0.6|0.9|2.2|1.5|0.4|
|||||||||||||||
